abandon	放弃；放纵
affront	侮辱，冒犯
agenda	议程
agglomerate	凝聚，结块
aggrandize	增大，扩张；吹捧
aggravate	加重，恶化
aggregate	集合；合计
aggression	侵略；敌对的情绪或行为
aggressive	好斗的；进取的
aggressor	侵略者，进攻者
aggrieve	使受委屈，使痛苦
agile	敏捷的，灵活的
agitate	搅动，煽动；使不安，使焦虑
agnostic	不可知论的；不可之论者
agog	兴奋的，有强烈兴趣的
agony	极大的痛苦
agrarian	土地的
agreeable	令人喜悦的，宜人的；欣然同意的
agronomy	农学，农艺学
ail	生病
airborne	空气传播的；空运的
airtight	密闭的，不透气的
alabaster	雪白润滑的
alacrity	乐意，欣然；敏捷，活泼
albeit	虽然，尽管
alchemy	炼金术
alcove	凹室
alert	警惕的，机警的；警报
alias	化名，别名
alibi	某人当时不在犯罪现场的申辩或证明
alienate	疏远，离间某人
align	将某物排列在一条直线上；与某人结盟
alimentary	饮食的，营养的
alkali	碱
allay	减轻，缓和
allege	陈述，宣称
allegiance	忠诚，拥护
allegory	寓言
allergic	过敏的；对…讨厌的
alleviate	缓和，减轻
allocate	配给，分配
allowance	津贴，补助；承认，允许
allude	间接提到，暗指
alluring	吸引人的，迷人的
aloft	在空中
aloof	冷淡的，孤零的
alphabetical	按字母表顺序的
alter	改变，更改
alternate	轮流的，交替的；轮流，交替；候选人，替代性选择
altruism	利他主义；无私
aluminium	铝
amalgam	混合物
amalgamate	合并；混合
amass	积聚
amateur	业余爱好者
ambidextrous	十分灵巧的
ambiguous	含糊的
ambivalent	有矛盾看法的
amble	漫步，缓行
ambush	埋伏；伏击
ameliorate	改善，改良
amenable	愿服从的，通情达理的
amend	修正；变化
amenity	礼仪；使人感到舒适的事物
amiable	和蔼的，亲切的
amicable	友好的
amity	友好关系
amnesia	健忘症
amnesty	大赦，特赦
amorphous	无定形的
amortize	分期偿还
amphibian	两栖动物；水陆两用飞行器
ample	充足的，丰富的
amplify	放大；详述
amplitude	广大，广阔
amulet	护身符
amuse	使愉快，逗某人笑
anachronistic	有时代错误的
anaerobic	厌氧的；厌氧微生物
anagram	变形词
analgesia	无痛觉，丧失痛觉
analgesic	镇痛剂；止痛的
analogy	相似；类比
analyze	分析，分解
anarchy	无政府；政治上的混乱
anathema	被诅咒的人；宗教意义的诅咒
anatomical	解剖学的
ancestor	祖先，祖宗
ancestry	家系
anchor	稳固；固定；锚
ancillary	辅助的；助手
anecdote	短故事；轶事
anemia	贫血，贫血症
anguish	极大的痛苦
angular	有角的；瘦削的
anhydrous	无水的
animate	活的，有生命的；赋予生命
animosity	憎恶，仇恨
animus	敌意，憎恨
annals	编年史
annexation	吞并，合并
annihilate	消灭
annotate	注解
announce	宣布，发表；通报…的到来
annoy	惹恼；打扰，骚扰
annul	宣告无效；取消
anomaly	异常，反常；异常事物
anonymity	无名，匿名
anorexia	厌食症
antagonize	使对抗；与…对抗
Antarctic	南极的
antecedent	前事；前辈；先行的
antediluvian	史前的；陈旧的
antenna	触角；天线
anterior	较早的；以前的
anthem	圣歌；赞美歌；国歌
anthology	选集
anthropologist	人类学家
antibiotic	抗生素；抗菌的
antibody	抗体
antic	古怪的
anticipate	预期，期待
antidote	解毒药
antihistamine	抗组胺剂
antipathy	反感，厌恶
antique	古时的，古老的；古物，古董
antisepic	杀菌剂；防腐的
antithesis	对立，相对
anvil	铁砧
aorta	主动脉
apex	顶点，最高点
aphorism	格言
aplomb	沉着，镇静
apocalyptic	预示世界末日的；启示的
apocrypha	伪经，伪书
apocryphal	假冒的，虚假的
apogee	远地点
apologize	道歉；辩解
apoplectic	中风的；愤怒的
apostasy	背教，脱党，变节
apostate	背教者；变节者
apostrophe	撇号
appall	使惊骇，使恐怖
apparatus	仪器，设备
apparel	衣服
apparition	幽灵；神奇的现象
appeal	恳求；吸引；上诉
appease	使平静，安抚
appellation	名称，称呼
appetite	欲望，食欲
appetizer	开胃品
appetizing	美味可口的，促进食欲的
applaud	鼓掌表示欢迎或赞赏
applause	鼓掌，喝彩；赞许
applicable	可应用的，适合的
applicant	申请人
appoint	任命，指定
apposite	适当的，恰当的，相关的
appraise	评价，鉴定
appreciable	明显的
appreciate	欣赏；感激
apprehend	逮捕，恐惧
apprentice	学徒
apprise	通知，告诉
approach	接近，靠近；着手处理；方法
approbation	称赞；认可
appropriate	拨款；盗用，挪用；恰当的
approximate	大约的，估计的
apron	围裙
apropos	适宜的；有关
apt	易于…的，恰当的
aptitude	适宜；才能，资源
aquatic	水生的，水中的
arabesque	蔓藤图饰
arable	可耕的，适宜种植的
arbiter	权威人士，泰斗
arbitrary	专横的，不理智的
arbitrate	仲裁，公断
arboreal	树木的
arboretum	植物园
arcane	神秘的，秘密的
arch	拱门，拱形；使…成弓形
archaeology	考古学
archetype	原型；典型例子
archipelago	群岛
architect	建筑师
archive	档案室
arctic	北极的；极寒的
ardent	热心的，热烈的
arena	竞技场
argot	隐语，黑话
aria	独唱曲，咏叹调
arid	干旱的；枯燥的
aristocracy	贵族；贵族政府，贵族统治
armada	舰队
armistice	休战，停战
armony	军械库
aroma	芳香，香气
array	部署；陈列；大批
arrest	逮捕；拘留；阻止，抑制
arresting	显著的，引人注意的
arrhythmic	无节奏的；不规则的
arrogant	傲慢的，自大的
arrogate	冒称，霸占
arsenal	军械库
arson	纵火，放火
artery	动脉，命脉
arthritis	关节炎
articulate	清楚说话；接合
artifact	人工制品
artifice	巧办法；诡计
artificial	人造的，假的
artistry	艺术技巧
artless	粗俗的；自然的
ascendancy	统治权，支配力量
ascetic	禁欲的；苦行者
ascribe	归功于，归咎于
asepic	洁净的；无菌的
aspect	方面；外貌，外表
aspen	白杨
asperity	严酷；粗鲁
aspersion	诽谤，中伤
asphyxiate	无法呼吸，窒息而死
aspiration	抱负，热望
aspire	向往，有志于
assail	抨击；猛攻
assault	突然袭击；猛袭
assay	试验，测定
assemble	集合，聚集，收集；装配，安装
assent	同意，赞成
assert	断言，主张
assertive	过分自信的；有进取心的
assess	评价，评定；估算，估定
assessment	估计，评价
asset	资产，财产；有价值的人或物，可取之处
assiduous	勤勉的；专心的
assimilate	同化；吸收
associate	联合的；合伙人；将人或事物联系起来
assorted	混杂的
assuage	缓和，减轻
assume	假定；承担，担任
assumption	设想；夺取
assure	向某人保证；使确信
asterisk	星号
asteroid	小行星
asthma	哮喘病
astound	使震惊
astray	迷路的，误入歧途的
astringent	止血的；收缩的；收缩剂，止血剂
astrolabe	星盘
astrology	占星术；占星学
astronomical	天文学的；庞大的
astute	机敏的，精明的
asunder	分离的；化为碎片
asylum	避难所，庇护所
asymmetric	不对称的
athletics	运动，体育
atonal	无调的
atrocious	残忍的，凶恶的
atrophy	萎缩，衰退
attach	将某物附在上
attain	达到，实现
attenuate	变薄；变弱
attest	证明为真
attic	阁楼，顶楼
attorney	律师
attribute	属性，品质；把…归于
attune	使调和
auction	拍卖
audacious	大胆的；无畏的；愚勇的
audible	听得见的
augment	增大，增值
augur	占卜师；占卜
august	威严的，高贵的
auspices	资助，赞助
auspicious	吉兆的
austere	朴素的
authentic	真正的；法律证实的
authoritarian	独裁主义者；极权主义者
autobiography	自传
autocrat	独裁者
autonomy	自制，独立
auxiliary	辅助的，协助的，附加的
available	可用的，可得到的
avalanche	雪崩
avarice	贪财，贪婪
avenge	为…复仇，为…报仇
aver	极力声明；断言；确证
averse	不愿的，反对的
aversion	嫌恶，憎恨
avert	避免，防止；避开
 aviary	大鸟笼，鸟舍
avid	渴望的，热心的
avoid	避开，躲避
avow	承认；公开宣称
awe	敬畏
awe-inspiring	令人敬畏的
awkward	笨拙的；难用的；造成不便的
awl	尖钻
awning	遮阳篷，雨篷
awry	扭曲的，走样的
axiom	公理；定理
axis	轴
axle	轮轴
babble	胡言乱语；牙牙学语；喋喋不休
backdrop	背景，背景幕布
backhanded	间接的；反手击球的
bacterium	细菌
badge	徽章
badger	獾；一再烦扰，一再要求
badinage	开玩笑，打趣
bail	保释金；保释
bait	诱饵；逗趣；激怒
bale	大包裹；灾祸；不幸
baleful	有害的，邪恶的，恶意的
balk	大方木料；妨碍；不愿前进或从事某事
balled	歌谣，小曲
ballast	压舱物
ballerina	芭蕾舞女演员
balloon	气球；快速增长
ballot	投票
balm	香油，药膏；镇痛剂，安慰物
balmy	温和的；芳香的，能止痛的
ban	禁令；明令禁止
banal	乏味的，陈腐的
band	带子；收音机波段
bandage	绷带；用绷带包扎
bane	祸根
banish	放逐某人
banister	栏杆
bankrupt	破产的
banquet	宴会，盛宴
banter	打趣，玩笑
bar	禁止，阻挡；条，棒
barb	倒钩；批评的话
barbarous	野蛮的，粗俗的
barbecue	烤肉架；烤肉
bard	吟游诗人
bare	暴露；赤裸的
barefaced	厚颜无耻的，公然的
bargain	交易；物美价廉的东西；讨价还价
barge	平底货船，驳船
bark	犬吠；树皮
barn	谷仓
barometer	气压计；晴雨表
baroque	过分雕琢
barrage	弹幕
barren	贫瘠的；不育的，不结果实的
barrricade	设栅阻挡；栅栏
barrier	路障；障碍
barter	易货贸易
base	卑鄙的
bask	晒太阳，取暖
baste	倒油脂于
batch	一批，一炉
bathetic	假作悲伤的；陈腐的
baton	指挥棒；警棍
battalion	军营，军队
bauxite	铝土岩
bawdy	淫猥的，好色的
bazaar	集市，商店集中区
beacon	烽火，灯塔
beam	大梁；光线
bearing	关系，意义；方位
beat	心跳；搅拌
bedeck	装饰，修饰
bedlam	混乱，骚乱
befuddlement	迷惑不解
begrudge	吝啬，勉强给
beholder	目睹者，旁观者
behoove	理应，有义务
belabor	过分冗长地做或说；痛打
belated	来得太迟的
beleaguer	围攻；骚扰
belie	掩饰；证明为假
belittle	轻视，贬抑
bellicose	好战的，好斗的
belligerence	交战；好战性，好斗性
bellwether	领导者，领头羊
bench	法官席；长凳
bend	弯曲；屈服
benediction	祝福；祈祷
benefactor	行善者，捐助者
benevolent	善心的，仁心的
benign	慈祥的
benison	祝福，赐福
bent	特长，爱好；弯曲的
bequeath	遗赠
bequest	遗产，遗赠物
berate	猛烈责骂
bereft	被剥夺的，丧失的；缺少的
beset	镶嵌；困扰
besiege	围攻，困扰
besmirch	诽谤
bestial	野兽的，残忍的
bestow	给予，赐赠
betray	背叛；暴露
betroth	许配，和…结婚
beverage	饮料
bewilder	使迷惑，混乱
bewildering	令人迷惑的；费解的
bibliography	文献学；参考书目
bibliophile	爱书者，藏书家
bicker	为小事争吵
bid	命令；竞标，出价
bifurcate	分为两支，分叉
bigot	顽固盲从者；偏执者
bile	胆汁；愤怒
bilingual	两种语言的
bilk	躲债
billowy	如波浪般翻滚的
bin	大箱子
biosphere	生命层，生物圈
biped	两足动物
bit	钻头
bizarre	奇异的，古怪的
blade	刀锋，刀口
blanch	使变白；使变苍白
bland	情绪平稳的；无味的
blandishment	奉承，甜言蜜语
blasphemy	亵渎，渎神
blast	一阵；冲击波；爆破；枯萎
blatant	厚颜无耻的；显眼的；炫耀的
blazon	纹章。装饰；精确描绘；宣扬，夸示
bleach	漂白，使无色；漂白剂；漂白的行为
bleak	寒冷的；阴沉的；阴郁的，暗淡的 
blemish	损害；玷污；瑕疵，缺点
blight	植物枯萎病；使…枯萎
bliss	狂喜，极大的幸福；福佑，天赐的福
blithe	快乐的，无忧无虑的
blizzard	暴风雪
blockade	封锁
blockage	障碍物
blooming	有花的；精力旺盛的
blotch	红斑点；大斑点
blowhard	自吹自擂者
blue	忧伤的，沮丧的
blueprint	蓝图；方案
blunder	犯大错；笨拙地做；愚蠢之举
blunt	钝的；直率的
blur	模糊不清的事物；使…模糊
blurb	简介；印在书籍封套上的推荐广告
blurt	脱口而出
blush	因某事物脸红；因羞愧等脸上泛出的红晕
bluster	猛刮
blustering	大吵大闹的
boast	自夸
bodyguard	保镖，侍卫
bog	沼泽；使…陷入沼泽
boggle	畏缩不前；使退缩
bogus	假的
boisterous	喧闹的；猛烈的
bolster	枕垫；支持，鼓励
bolt	急逃；螺栓，门闩
bombast	高调，夸大之辞
bondage	奴役，束缚
bonnet	圆帽，扁平软帽
boom	繁荣昌盛时期；发出深沉有回响的声音
boon	恩惠，天赐福利
boor	举止粗野的人；乡下人
boost	往上推；增加，提高
bootless	无益处的；无用的
bore	钻孔；使厌烦；孔；令人厌烦的人
boredom	厌烦；令人厌烦的事物
botany	植物学
boulder	巨砾
bouquet	花束；芳香
bourgeois	中产阶级的；自私拜物的
bout	一回合，一阵
boycott	抵制
brace	使稳固，架稳；支撑物
bracelet	手镯，臂镯
bracing	令人振奋的
bracket	托架，支架
brag	吹嘘
braggadocio	吹牛大王；大吹大擂
braggart	吹牛者
braid	穗子；发辫；编成辫子
brake	刹车；减速
brandish	挥舞
brash	性急的；无礼的
brassy	厚脸皮的，无礼的
brat	孩子；顽童
bravado	故作勇敢，虚张声势
bravura	华美乐段；华美的；显示技巧的
brawl	争吵，打架
brazen	厚脸皮的
breach	裂缝，缺口；打破，裂开；违背
breadth	宽度
breed	繁殖；教养；品种，种类
bribe	贿赂
bricklayer	砌砖盖房者，泥瓦匠
bridle	马笼头；抑制，控制
brink	边沿，边缘
brisk	快的，敏捷的，活泼的；清新健康的
bristle	短而硬的毛发；竖起；发怒
brittle	易碎的，脆弱的
broach	开；提出
brochure	小册子，说明书
broker	经纪人
bromide	平庸的人或话；镇静剂，安眠药
brood	一窝幼鸟；孵蛋；冥想
brook	小河
browbeat	欺侮；吓唬
bruise	受伤，擦伤
bruit	散布
brunt	主要冲击力或影响
brusque	唐突的，鲁莽的
brutal	残忍的；严酷的
buck	反对；雄鹿；雄兔
bucket	圆桶
bucolic	乡村的；牧羊的
bud	芽；花蕾
budge	移动一点儿；改变立场
budget	预算
buffoon	演出时的丑角；粗俗而愚蠢的人
bulb	植物的球茎；灯泡
bulge	膨胀，鼓起
bulk	体积；数量；大多数；大身躯
bully	以强欺弱，威胁；欺负别人者
bumptious	傲慢的，自夸的
bungle	笨拙地做
buoy	浮标；救生圈；支持，鼓励
buoyant	有浮力的；快乐的
bureaucracy	官僚政治
burgeon	迅速成长，发展
burial	埋葬，埋藏
burlesque	讽刺或滑稽的戏剧
burnish	擦亮，磨光
bust	半身像
butt	用头抵撞，顶撞；粗大的一段；烟蒂
buttress	拱墙，拱壁；支持
byline	报刊文章首行
byproduct	副产品；副作用
bystander	旁观者
byzantine	像迷宫似的；难变更的
cabal	政治阴谋小集团
cabinet	橱柜
cache	贮藏处；将…藏于
cacophony	难听的声音
cadet	军校或警官学校的学生
cadge	乞讨；占便宜
cajole	哄骗
calamity	大灾祸，不幸之事
calcium	钙
calculated	蓄意的
calculating	深谋远虑的，精明的
calculus	微积分学，结石
caldron	大锅
calibrate	量…口径；校准
calipers	测径器，双脚规
calligraphy	书法
callous	结硬块的；无情的
callow	未生羽毛的；未成熟的
calorie	卡路里；卡
calumniate	诽谤，中伤
calumny	诽谤，中伤
cameo	浮雕宝石；生动刻画；出演
camouflage	掩饰，伪装
campaign	战役；竞选活动
canary	金丝雀；女歌星
candid	率直的
candidacy	候选人的资格
candor	坦白，率直
cane	拐杖
canine	犬的，似犬的
canny	精明仔细的
canon	经典，真作
canonical	按照教规的；见于宗教经典的
canopy	蚊帐；华盖
cant	斜坡，斜面；隐语，术语，黑话；使倾斜
cantankerous	脾气坏的，好争吵的
canto	篇
canvas	画布；帆布
canvass	细查；拉选票
canyon	峡谷
cape	披肩，短斗篷；海角
capillary	毛细血管
capitulate	投降
caprice	奇思怪想，变化无常，任性
capricious	变化无常的，任性的
capsule	荚；胶囊
caption	标题
captious	吹毛求疵的
captivate	迷惑，吸引
capture	俘获；夺取或赢得；战利品
carafe	玻璃瓶
carapace	甲壳
carbohydrate	碳水化合物
carcinogen	致癌物
cardinal	最重要的；红衣主教
cardiologist	心脏病专家
caress	爱抚，抚摸；爱抚或抚摸某人
careworn	受忧虑折磨的，饱经风霜的
cargo	货物
caricature	讽刺画；滑稽模仿
carnivorous	肉食动物
carol	颂歌；欢唱
carouse	狂欢寻乐
carp	鲤鱼；吹毛求疵
carpenter	木匠
carrion	腐肉
cartographer	绘制地图者
carve	雕刻；切成片
cast	演员阵容；剧团；扔；铸造
caste	社会等级，等级
castigate	惩治，严责
casual	偶然的
casualty	伤亡事故；伤亡者
cataclysm	剧变，灾难
catalyst	催化剂；促使事情发展的因素
catastrophe	突如其来的大灾难
categorical	无条件的，绝对的；分类的
cater	迎合；提供饮食及服务
caterpillar	毛毛虫，蝴蝶的幼虫
catharsis	宣泄，净化
cathedral	总教堂，主教堂
catholic	普遍的；广泛的；宽厚的
caucus	政党高层会议
caulk	填塞
causal	原因的，因果关系的
caustic	腐蚀性的；刻薄的；腐蚀剂
cauterize	烧灼以消毒或止血
cavalier	骑士，武士
cavalry	骑兵部队，装甲部队
caveat	警告，告诫
cavern	大洞穴
cavil	挑毛病，吹毛求疵
cavity	洞，腔
cavort	腾越，欢跃
cede	割让，放弃
celebrated	有名的，知名的
celebrity	名声；知名人士
celestial	天体的，天上的
cellar	地下室；酒窖
cello	大提琴
cement	水泥；胶黏剂；黏合，巩固
censor	审查，检查
census	人口统计
centaur	人头马怪物
centigrade	百分度的，摄氏温度计的
centralization	集中；集权化
centurion	古罗马的百人队长
ceramic	陶瓷制品
cereal	谷类；谷类制品
cerebral	大脑的；深思的
ceremonious	仪式隆重的
ceremony	典礼，仪式
certainty	确定的事情
certification	证明
certitude	确定无疑
cessation	中止，停止
cession	割让，转让
chafe	擦热；擦痛；激怒
chaff	谷壳，米糠
chagrin	失望，懊恼
chalice	大酒杯；圣餐杯
chameleon	变色龙，蜥蜴；善变之人
champion	冠军；斗士；拥护者；拥护
championship	冠军地位；锦标赛
chancellor	大臣；总理；首席法官；大学校长
chandelier	枝形吊灯
chant	圣歌；歌唱或背诵
chaos	混乱
chapel	小教堂
char	烧焦；使…燃烧成焦炭
characteristic	有特色的；典型性的；与众不同的特征
characterization	描绘，刻画
characterize	描述或刻画…的特点
charade	用动作等表演文字意义的字谜游戏
charisma	领袖气质；魅力
charity	仁慈；施舍
charlatan	江湖郎中，骗子
charm	魅力；咒语，咒符；吸引，迷住
charter	特权或豁免权
chary	小心的，审慎的
chase	雕镂；追捕
chasm	深远，大沟；大差别
chaste	贞洁的；朴实的
chastise	严厉惩罚；谴责
chauvinistic	沙文主义的，过分爱国主义的
check	使突然停止，阻止
chef	厨师
cherubic	胖乎乎而天真无邪的
chicanery	诡计，狡诈
chide	叱责，指责
chimera	神话怪物；梦幻
chip	薄片，碎片；集成电路片
chipmunk	花栗鼠
chisel	凿子；凿
chivalrous	武士精神的；对女人彬彬有礼的
choice	上等的，精选的
choir	唱诗班
choke	窒息，阻塞
choleric	易怒的，暴躁的
chord	和弦，和音
choreography	舞蹈；舞蹈编排
chorus	合唱队，歌舞团
chromatic	彩色的，五彩的
chromosome	染色体
chronic	慢性的，长期的
chrysanthemum	菊，菊花
chuckle	轻声地笑
churl	粗鄙之人
cinder	余烬，煤渣
cipher	零；无影响力的人；密码
circuit	环形，环形道；线路；电路
circuitous	迂回的，绕圈子的
circulate	循环；流通
circumference	周围；圆周；周长
circumlocution	迂回累赘的陈述
circumscribe	限制
circumstantial	不重要的，偶然的；描述详细的
circumvent	回避；用计谋战胜或规避
cistern	贮水池
cite	引用，引述
civil	国内的；公民的；文明的
civilian	平民
civility	彬彬有礼，斯文
claim	要求或索要；声称拥有的权力
clairvoyance	超人的洞察力
clam	蛤蜊，蛤肉；守秘密之人
clamor	吵闹，喧哗
clamp	钳子；钳紧
clandestine	秘密的，暗中从事的
clannish	排他的，门户之见的
clarify	澄清
clash	冲突，撞击
clasp	钩子，扣子；紧握
classify	分类，归类
clause	从句；条款
clay	黏土
cleft	裂缝；劈开的
clemency	温和；仁慈，宽厚
clement	仁慈的；温和的
climax	顶点，高潮
clinch	钉牢；最后确定
cling	紧抓住；舍不得放弃
clinical	临床的；冷静客观的
clip	夹子，别针；修剪
clipper	大剪刀；快速帆船
clique	朋党派系，小集团
clog	障碍；阻塞
cloister	修道院
closet	壁橱；秘密的
clot	凝块；使凝结成块
cloture	辩论的终结
cloudburst	大暴雨，豪雨
clout	用手猛击；权力，影响力
clown	小丑；扮小丑
cloying	甜得发腻的
clumsy	笨拙的
cluster	串，束，群；成群，成串
coagulant	凝结剂；凝血剂
coagulate	使凝结
coalesce	联合，合并
coalition	结合，联合
coarse	粗糙的；低劣的；粗俗的
coarsen	使某物变粗糙
coax	哄诱，巧言劝诱
cob	玉米棒子；雄天鹅
cobbler	补鞋匠
cocoon	茧
coda	乐曲的尾声
coddle	溺爱；细心照料
code	密码；法典；将某事物变成密码
codify	将法律、规则等编成法典
coerce	强迫
coercion	强迫，高压统治
coeval	同年代的
cogent	有说服力的
cogitate	慎重思考，思索
cognizance	认识，察识
cognizant	知道的，认识的
cohabit	共栖
coherent	连贯的，一致的
cohesion	内聚力；凝聚力
cohesive	凝聚的
coincide	巧合；一致
colander	滤器，漏勺
cold-blooded	冷血的；残酷的
collaborate	合作，协作
collage	拼贴画
collapse	坍塌，塌陷；虚脱，晕倒
collar	衣领；戴在动物颈部的项圈
collate	对照，核对
collateral	平行的；旁系的；担保品
collected	泰然自若的
collection	收藏品
collision	碰撞，冲突
colloquial	口语的，口头的
colloquium	学术讨论会
collude	串通，共谋
colon	冒号
colonize	建立殖民地
colonnade	柱廊
colony	菌群；殖民地
coloration	着色法，染色法；颜色，色泽
colossal	巨大的，庞大的
colossus	巨人
coltish	似小马的；不受拘束的
coma	昏迷状态
comatose	昏迷的
combat	格斗，搏斗
combustible	易燃的；易激动的
comedienne	说笑话、演滑稽剧等的女演员
comely	动人的，美丽的
comic	可笑的；喜剧的；喜剧演员
comity	礼让，礼仪
comma	逗号
commemorate	纪念
commence	开始，着手
commencement	开始；毕业典礼
commensurate	同样大小的；相称的
commentary	实况报道；集注
commingle	掺和，混合
commission	委托；佣金
commit	托付；承诺；犯罪
committed	尽忠的
commodious	宽敞的
commodity	商品
commonplace	平常的
commonwealth	共和国，联邦
commotion	骚动，动乱
communal	全体公用的，共享的
commune	公社；与某人亲密地交谈
communicate	传送信息，沟通
commute	交换；坐公交车上下班
compact	结实的；简洁的；合同，协议
companion	同伴，同伙；受雇的陪伴人
comparison	比较，对照；比喻
compartment	隔间；车厢
compass	指南针，罗盘；界限，范围
compassion	同情，怜悯
compatible	和谐共处的，相容的
compatriot	同胞，同国人
compel	强迫
compelling	引起兴趣的
compendium	简要，概略
compensate	补偿，赔偿
competence	胜任，能力
compile	汇集；编辑
complacecency	满足，安心
complaisance	彬彬有礼，殷勤，柔顺
complaisant	顺从的，讨好的
complementary	互补的
compliant	服从的，顺从的
complicate	使某事复杂化
compliment	恭维，称赞
component	成分，零部件
compose	写，创作
composed	镇定的，沉着的
compost	混合肥料
composure	镇静，沉着；自若
compound	复合物
comprehend	理解；包括
comprehensible	能充分理解的
comprehensive	全面的，综合的
compress	压缩，浓缩的
compromise	妥协；危害
compulsion	强迫；难以抗拒的冲动
compunction	懊悔，良心不安
concatenate	连结；连锁
concave	凹的
conceal	隐藏，隐瞒
concede	承认；让步
conceit	自负，自大
conceive	想象，构想；怀孕
concentrate	聚集，浓缩
conception	观念
concerto	协奏曲
concession	让步
conciliate	安抚，驯服
conciliatory	抚慰的，调和的
concise	简洁的
conclave	秘密会议
conclusive	最后的，结论的；确凿的，消除怀疑的
concomitant	伴随而来的
concord	公约；和睦
concrete	具体存在的；混凝土
concur	意见相同，一致
concussion	脑震荡；强烈振荡
condemn	极力谴责；判刑
condense	浓缩
condescend	轻慢，怀着优越态度对待人
condone	宽恕，原谅
conducive	有助于…的
conduct	品德，行为；领导，引导
conduit	渠道，引水道；水管
cone	松果；圆锥体
confection	甜食，糖果
confederacy	联盟或同盟
confer	讨论，商谈
conference	讨论会，协商会
confess	承认，公认
confide	吐露；倾诉
confidence	新人，自信，信心
confidential	机密的
configuration	结构，配置；轮廓
confine	限制，禁闭
confirm	证实，证明
confiscate	没收；充公
conflagration	建筑物或森林大火
conflate	合并
conflict	斗争，战斗；冲突，抵触
conformist	遵奉传统者，遵守习俗者
confound	使迷惑，搞混
confront	面临；对抗
congeal	冻结，凝固
congenial	意气相投的；性情好的
congest	使拥挤；充血
conglomerate	集聚成团
congregate	聚集，集合
congruent	全等的，一致的
congruous	一致的，符合的；全等的
conifer	针叶树
conjecture	推测，臆测
conjoin	使结合
conjunction	联合；连词
conjure	召唤，想起；变魔术，变戏法
